date,ticker,actual,predicted,prob_up
2023-06-20,AAPL,1,1,0.6370564
2023-06-20,AMZN,1,1,0.9422912
2023-06-20,BA,0,1,0.62980694
2023-06-20,BAC,0,1,0.8266383
2023-06-20,CAT,0,1,0.76339227
2023-06-20,CVX,0,1,0.9207008
2023-06-20,GOOGL,0,1,0.6262899
2023-06-20,GS,0,1,0.68432146
2023-06-20,JNJ,0,1,0.72526634
2023-06-20,JPM,0,1,0.76090264
2023-06-20,KO,0,1,0.85092175
2023-06-20,META,1,1,0.8914541
2023-06-20,MSFT,0,1,0.80515695
2023-06-20,NVDA,1,1,0.72347933
2023-06-20,PFE,0,1,0.64837617
2023-06-20,TSLA,1,1,0.77147704
2023-06-20,UNH,1,1,0.9464904
2023-06-20,WMT,0,1,0.87433356
2023-06-20,XOM,0,1,0.9371627
2023-06-21,AAPL,0,1,0.7561923
2023-06-21,AMZN,0,1,0.8561617
2023-06-21,BA,0,0,0.4791841
2023-06-21,BAC,0,1,0.8836597
2023-06-21,CAT,1,1,0.69306016
2023-06-21,CVX,1,1,0.97012144
2023-06-21,GOOGL,0,1,0.7655319
2023-06-21,GS,0,1,0.69202936
2023-06-21,JNJ,0,0,0.3475065
2023-06-21,JPM,0,1,0.8010817
2023-06-21,KO,1,1,0.77326566
2023-06-21,META,0,1,0.86586773
2023-06-21,MSFT,0,1,0.6717272
2023-06-21,NVDA,0,1,0.7364079
2023-06-21,PFE,0,1,0.5531097
2023-06-21,TSLA,0,1,0.9578408
2023-06-21,UNH,1,1,0.5032294
2023-06-21,WMT,1,1,0.91398907
2023-06-21,XOM,1,1,0.8719296
2023-06-22,AAPL,1,1,0.8148741
2023-06-22,AMZN,1,1,0.60751164
2023-06-22,BA,0,1,0.93132436
2023-06-22,BAC,0,0,0.24750355
2023-06-22,CAT,0,1,0.991046
2023-06-22,CVX,0,1,0.9003015
2023-06-22,GOOGL,1,0,0.14344542
2023-06-22,GS,0,1,0.9404851
2023-06-22,JNJ,1,1,0.6119973
2023-06-22,JPM,0,0,0.3726661
2023-06-22,KO,1,1,0.6442606
2023-06-22,META,1,1,0.67595935
2023-06-22,MSFT,1,1,0.64351934
2023-06-22,NVDA,0,0,0.16589756
2023-06-22,PFE,0,0,0.42295992
2023-06-22,TSLA,1,0,0.28285512
2023-06-22,UNH,1,1,0.7559632
