date,ticker,actual,predicted,prob_up
2023-06-20,AAPL,1.0,1,0.9466022
2023-06-20,AMZN,1.0,1,0.5647246
2023-06-20,BA,0.0,0,0.35866028
2023-06-20,BAC,0.0,1,0.5122388
2023-06-20,CAT,0.0,1,0.67091817
2023-06-20,CVX,0.0,0,0.44182715
2023-06-20,GOOGL,0.0,1,0.76644146
2023-06-20,GS,0.0,0,0.18986759
2023-06-20,JNJ,0.0,1,0.82280767
2023-06-20,JPM,0.0,1,0.5728457
2023-06-20,KO,0.0,1,0.90043855
2023-06-20,META,1.0,1,0.6474062
2023-06-20,MSFT,0.0,1,0.71452934
2023-06-20,NVDA,0.0,1,0.7459346
2023-06-20,PFE,0.0,0,0.36877462
2023-06-20,TSLA,0.0,1,0.6054614
2023-06-20,UNH,1.0,1,0.8558024
2023-06-20,WMT,1.0,1,0.7571532
2023-06-20,XOM,1.0,0,0.32577595
2023-06-21,AAPL,1.0,1,0.94991755
2023-06-21,AMZN,1.0,1,0.8853245
2023-06-21,BA,0.0,1,0.62340397
2023-06-21,BAC,0.0,0,0.12876818
2023-06-21,CAT,1.0,1,0.6119308
2023-06-21,CVX,1.0,0,0.47393414
2023-06-21,GOOGL,0.0,0,0.27503282
2023-06-21,GS,0.0,0,0.09428248
2023-06-21,JNJ,0.0,0,0.3666896
2023-06-21,JPM,0.0,0,0.26820844
2023-06-21,KO,0.0,1,0.56085473
2023-06-21,META,1.0,1,0.81116533
2023-06-21,MSFT,1.0,1,0.72524947
2023-06-21,NVDA,0.0,1,0.62893254
2023-06-21,PFE,0.0,0,0.1062167
2023-06-21,TSLA,0.0,0,0.48761418
2023-06-21,UNH,0.0,1,0.8326526
2023-06-21,WMT,1.0,0,0.11514046
2023-06-21,XOM,1.0,0,0.44572023
2023-06-22,AAPL,1.0,1,0.96299046
2023-06-22,AMZN,0.0,1,0.97597265
2023-06-22,BA,1.0,0,0.40085158
2023-06-22,BAC,1.0,0,0.3585929
2023-06-22,CAT,1.0,1,0.7877591
2023-06-22,CVX,1.0,1,0.7130051
2023-06-22,GOOGL,0.0,1,0.7621536
2023-06-22,GS,1.0,0,0.20647596
2023-06-22,JNJ,0.0,1,0.5541651
2023-06-22,JPM,1.0,0,0.24885699
2023-06-22,KO,0.0,0,0.44882128
2023-06-22,META,0.0,1,0.8870825
2023-06-22,MSFT,0.0,1,0.9251348
2023-06-22,NVDA,0.0,1,0.66001207
2023-06-22,PFE,0.0,0,0.15276073
2023-06-22,TSLA,0.0,1,0.9321615
2023-06-22,UNH,0.0,1,0.6647526
2023-06-22,WMT,0.0,1,0.5450028
2023-06-22,XOM,1.0,1,0.7261664
2023-06-23,AAPL,1.0,1,0.82600325
2023-06-23,AMZN,1.0,0,0.45432806
2023-06-23,BA,1.0,0,0.24321833
2023-06-23,BAC,1.0,0,0.19004105
2023-06-23,CAT,1.0,1,0.8670918
2023-06-23,CVX,1.0,1,0.81117827
2023-06-23,GOOGL,0.0,0,0.21323296
2023-06-23,GS,1.0,0,0.26224402
2023-06-23,JNJ,1.0,0,0.2756601
2023-06-23,JPM,1.0,0,0.14499155
2023-06-23,KO,0.0,0,0.20310475
2023-06-23,META,0.0,0,0.45748746
2023-06-23,MSFT,1.0,0,0.2974952
2023-06-23,NVDA,1.0,0,0.27499786
2023-06-23,PFE,0.0,0,0.30978227
2023-06-23,TSLA,1.0,1,0.5187337
2023-06-23,UNH,1.0,0,0.38503265
2023-06-23,WMT,1.0,0,0.24714726
2023-06-23,XOM,1.0,1,0.8061217
2023-06-26,AAPL,1.0,1,0.9224993
2023-06-26,AMZN,1.0,1,0.6521223
2023-06-26,BA,1.0,1,0.8017502
2023-06-26,BAC,1.0,0,0.29118347
2023-06-26,CAT,1.0,1,0.71127576
2023-06-26,CVX,1.0,1,0.9455074
2023-06-26,GOOGL,1.0,0,0.16668174
2023-06-26,GS,1.0,0,0.3839061
2023-06-26,JNJ,0.0,1,0.5318396
2023-06-26,JPM,1.0,1,0.6767722
2023-06-26,KO,0.0,0,0.17390932
2023-06-26,META,1.0,0,0.4760094
2023-06-26,MSFT,1.0,1,0.7652574
2023-06-26,NVDA,1.0,0,0.48729184
2023-06-26,PFE,0.0,0,0.30345854
2023-06-26,TSLA,1.0,1,0.7766131
2023-06-26,UNH,0.0,0,0.28705314
2023-06-26,WMT,1.0,0,0.28952724
2023-06-26,XOM,1.0,1,0.8584877
2023-06-27,AAPL,1.0,1,0.9247469
2023-06-27,AMZN,1.0,1,0.81582224
2023-06-27,BA,1.0,1,0.8333061
2023-06-27,BAC,1.0,0,0.12394187
2023-06-27,CAT,1.0,1,0.8404326
2023-06-27,CVX,1.0,1,0.7950531
2023-06-27,GOOGL,1.0,1,0.95025617
2023-06-27,GS,1.0,1,0.68772465
2023-06-27,JNJ,0.0,0,0.1639785
2023-06-27,JPM,1.0,1,0.7621615
2023-06-27,KO,0.0,0,0.3598985
2023-06-27,META,1.0,1,0.6062042
2023-06-27,MSFT,1.0,1,0.9378283
2023-06-27,NVDA,1.0,1,0.9253262
2023-06-27,PFE,1.0,1,0.7216567
2023-06-27,TSLA,1.0,1,0.88491535
2023-06-27,UNH,0.0,0,0.4320097
2023-06-27,WMT,1.0,0,0.3923714
2023-06-27,XOM,1.0,1,0.6536609
2023-06-28,AAPL,1.0,1,0.9494023
2023-06-28,AMZN,0.0,1,0.799722
2023-06-28,BA,1.0,1,0.7486938
2023-06-28,BAC,1.0,1,0.54690504
2023-06-28,CAT,0.0,1,0.8336204
2023-06-28,CVX,0.0,1,0.950258
2023-06-28,GOOGL,0.0,1,0.868483
2023-06-28,GS,0.0,1,0.76412857
2023-06-28,JNJ,0.0,0,0.3024868
2023-06-28,JPM,1.0,1,0.84120345
2023-06-28,KO,1.0,0,0.4610332
2023-06-28,META,1.0,1,0.547718
