title,summary,source,url,published_at,authors,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label,ticker
MICROSOFT CORP — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for MICROSOFT CORP. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2026-01-28.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/789019/000119312526027198/msft-20260128.htm,2026-01-28T06:00:00+00:00,,-0.0213,Neutral,-0.0213,Neutral,MSFT
MICROSOFT CORP — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers; Submission of Matters to a Vote of Security Holders,"SEC 8-K filing for MICROSOFT CORP. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers, Submission of Matters to a Vote of Security Holders. Filed 2025-12-08.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/789019/000119312525311196/d34077d8k.htm,2025-12-08T06:00:00+00:00,,-0.1504,Somewhat-Bearish,-0.1504,Somewhat-Bearish,MSFT
MICROSOFT CORP — SEC 8-K: Results of Operations and Financial Condition; Regulation FD Disclosure; Financial Statements and Exhibits,"SEC 8-K filing for MICROSOFT CORP. Items: Results of Operations and Financial Condition, Regulation FD Disclosure, Financial Statements and Exhibits. Filed 2025-10-29.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/789019/000119312525256310/msft-20251028.htm,2025-10-29T06:00:00+00:00,,-0.0091,Neutral,-0.0091,Neutral,MSFT
MICROSOFT CORP — SEC 8-K: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers,SEC 8-K filing for MICROSOFT CORP. Items: Departure of Directors or Certain Officers; Election of Directors; Appointment of Certain Officers. Filed 2025-09-30.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/789019/000119312525225125/d863209d8k.htm,2025-09-30T06:00:00+00:00,,-0.2332,Somewhat-Bearish,-0.2332,Somewhat-Bearish,MSFT
MICROSOFT CORP — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for MICROSOFT CORP. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-07-30.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/789019/000095017025100226/msft-20250730.htm,2025-07-30T06:00:00+00:00,,-0.0213,Neutral,-0.0213,Neutral,MSFT
MICROSOFT CORP — SEC 8-K: Amendments to Articles of Incorporation or Bylaws; Financial Statements and Exhibits,"SEC 8-K filing for MICROSOFT CORP. Items: Amendments to Articles of Incorporation or Bylaws, Financial Statements and Exhibits. Filed 2025-07-01.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/789019/000119312525154103/d84624d8k.htm,2025-07-01T06:00:00+00:00,,-0.0021,Neutral,-0.0021,Neutral,MSFT
MICROSOFT CORP — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for MICROSOFT CORP. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-04-30.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/789019/000095017025061032/msft-20250430.htm,2025-04-30T06:00:00+00:00,,-0.0213,Neutral,-0.0213,Neutral,MSFT
