title,summary,source,url,published_at,authors,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,ticker_sentiment_label,ticker
AMAZON COM INC — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for AMAZON COM INC. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2026-02-05.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000002/amzn-20260205.htm,2026-02-05T06:00:00+00:00,,-0.0149,Neutral,-0.0149,Neutral,AMZN
AMAZON COM INC — SEC 8-K: Other Events; Financial Statements and Exhibits,"SEC 8-K filing for AMAZON COM INC. Items: Other Events, Financial Statements and Exhibits. Filed 2025-11-20.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1018724/000110465925114647/tm2530638d3_8k.htm,2025-11-20T06:00:00+00:00,,-0.0395,Neutral,-0.0395,Neutral,AMZN
AMAZON COM INC — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for AMAZON COM INC. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-10-30.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000121/amzn-20251030.htm,2025-10-30T06:00:00+00:00,,-0.0149,Neutral,-0.0149,Neutral,AMZN
AMAZON COM INC — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for AMAZON COM INC. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-07-31.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000084/amzn-20250731.htm,2025-07-31T06:00:00+00:00,,-0.0149,Neutral,-0.0149,Neutral,AMZN
AMAZON COM INC — SEC 8-K: Submission of Matters to a Vote of Security Holders,SEC 8-K filing for AMAZON COM INC. Items: Submission of Matters to a Vote of Security Holders. Filed 2025-05-22.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1018724/000110465925052014/tm2515134d1_8k.htm,2025-05-22T06:00:00+00:00,,0.0072,Neutral,0.0072,Neutral,AMZN
AMAZON COM INC — SEC 8-K: Results of Operations and Financial Condition; Financial Statements and Exhibits,"SEC 8-K filing for AMAZON COM INC. Items: Results of Operations and Financial Condition, Financial Statements and Exhibits. Filed 2025-05-01.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000034/amzn-20250501.htm,2025-05-01T06:00:00+00:00,,-0.0149,Neutral,-0.0149,Neutral,AMZN
AMAZON COM INC — SEC 8-K: Regulation FD Disclosure; Financial Statements and Exhibits,"SEC 8-K filing for AMAZON COM INC. Items: Regulation FD Disclosure, Financial Statements and Exhibits. Filed 2025-04-10.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033450/tm254123d2_8k.htm,2025-04-10T06:00:00+00:00,,-0.0216,Neutral,-0.0216,Neutral,AMZN
