Date,Open,High,Low,Close,Volume
,GS,GS,GS,GS,GS
2023-02-13,342.3044643219049,347.84121170094545,341.2935709997979,346.8766784667969,1570600
2023-02-14,346.80256507098636,349.6868537007487,342.5734939908321,344.79931640625,2155500
2023-02-15,341.9798584393685,347.2012836273808,341.5254276875487,347.1734619140625,1687200
2023-02-16,343.8439669544596,347.0899652938813,342.0354708442094,343.3338928222656,1947800
2023-02-17,341.339939687583,344.1315076428452,340.23629785889165,341.7572937011719,1857300
2023-02-21,340.1064759765773,340.1064759765773,333.95762238556796,334.9128723144531,2403000
2023-02-22,335.3858727889943,336.6564449259592,332.0564088649957,334.6995849609375,2203800
2023-02-23,336.8419348871803,341.18229208757987,333.51244272955415,337.1572570800781,1931400
2023-02-24,334.0318039210355,338.67819963262025,333.43823632911165,337.4447326660156,2428600
2023-02-27,341.4976223255887,343.4266605813681,338.0568715337868,339.0028381347656,2842400
2023-02-28,339.4387592948873,339.44804263484514,325.83337362070836,326.1301574707031,4945600
2023-03-01,326.3543405326615,329.29665181137244,323.1504626015566,323.4026794433594,2717400
2023-03-02,321.31032850264825,326.71859502323633,318.0410875895826,326.08343505859375,3259800
2023-03-03,327.52187411914394,334.1817602387141,326.51306392473134,333.5466003417969,2396200
2023-03-06,334.45266541666905,335.19990903920024,330.4081601377021,333.5092468261719,1614200
2023-03-07,332.10817608390914,332.71534365521,322.8422288354624,323.2625427246094,2048500
2023-03-08,323.3652455862368,326.63448603677057,322.4125057740665,326.2608642578125,1584600
2023-03-09,326.17682730249936,330.9312339417815,318.564143989531,319.53558349609375,3177800
2023-03-10,316.52783585697415,317.51794633612514,304.53439792559726,306.0662841796875,4559700
2023-03-13,298.5937677229963,304.6091442049723,293.8019905088266,294.7080383300781,5660700
2023-03-14,303.35750341313855,304.8613689519506,297.9212448495108,300.9102478027344,3785900
2023-03-15,290.2805737675609,291.9058729923911,284.33990941041276,291.6069641113281,6596700
2023-03-16,288.6273191456473,297.33284901104224,284.81633019256225,294.3157958984375,4399100
2023-03-17,289.64532909716746,289.93488808307023,281.96728405583264,283.5271911621094,6369800
2023-03-20,286.5536252537527,291.6162906909433,286.06791973985776,289.122314453125,3963700
2023-03-21,296.6789386256166,299.20093588074116,294.558612633484,296.3613586425781,3242400
2023-03-22,296.3613546469352,300.9756569071691,292.821225830691,292.9893798828125,2505900
2023-03-23,294.4278038029802,300.17232093578076,292.0272687707281,294.091552734375,2585900
2023-03-24,289.7014548506045,292.1300396180777,285.2272569737093,291.9619140625,2456700
2023-03-27,297.6129934345359,299.7426691364141,296.25861079177463,297.5289306640625,2300600
2023-03-28,298.0520243019946,299.4717986842725,295.2778386923881,297.44488525390625,1224300
2023-03-29,301.23719581024636,301.43334228178696,297.66904606040987,299.5745544433594,1475900
2023-03-30,303.1613262918183,303.45088530006774,298.78989174258766,299.9668273925781,1456300
2023-03-31,302.1432476663983,305.74873969244265,301.16248679033424,305.5432434082031,2281100
2023-04-03,304.6372347566772,307.28998692517973,301.8443494533453,304.9921569824219,1808800
2023-04-04,305.2723372956726,305.31902932814876,299.01406564610096,301.37725830078125,1536800
2023-04-05,298.5470713752383,300.9569848914078,298.3135541704826,300.3311462402344,1329300
2023-04-06,299.25698996744137,301.9190919554818,298.88336811950165,301.143798828125,1311000
2023-04-10,301.1437897011435,303.5630245872176,300.12565808151896,303.5350036621094,1114400
2023-04-11,304.5530942277498,307.4954334950797,302.3300346226223,305.78607177734375,1559600
2023-04-12,309.84935124442273,310.17628107592765,305.60867025710945,308.4669189453125,1862400
2023-04-13,308.3173808504947,310.9888321284753,305.44046182587607,310.23223876953125,1765500
2023-04-14,314.34218140818535,317.2378004748138,312.2778972807596,314.70648193359375,2275700
2023-04-17,313.84708831500524,318.0037054999546,311.68004205436375,317.2844543457031,3012100
2023-04-18,306.37457774542816,314.36085487896275,304.6278735856283,311.8949279785156,7549500
2023-04-19,311.0262843565518,314.7718814035713,309.8026563316783,314.6784973144531,2625400
2023-04-20,312.86633885652174,316.9388649192116,312.2778709838129,316.37841796875,2217900
2023-04-21,316.6493152838436,319.78777269073447,313.84710895389804,319.1339416503906,2278900
2023-04-24,319.4421406294395,322.3097383352215,319.0124770156574,321.2822570800781,1966300
