Date,Open,High,Low,Close,Volume,date,ticker,daily_return,return_direction,intraday_range,gap_pct,volume_change,rsi_14,macd,macd_signal,macd_histogram,bb_pct_b,bb_width,atr_14,distance_52w_high,distance_52w_low,volume_zscore,stoch_k,stoch_d,williams_r,obv_slope,ema_cross,adx_14,cci_20,mfi_14,roc_10,vwap_distance,keltner_pos,return_5d,return_20d,VIX_close,article_count,avg_overall_sentiment,avg_ticker_sentiment,min_sentiment,max_sentiment,sentiment_std,sentiment_range,pct_positive,pct_negative,n_pre_market,n_market_hours,n_after_hours,n_overnight,sentiment_rolling_3d,sentiment_rolling_5d
2025-02-13,235.8819260401158,241.2883551100076,234.5477446540096,240.48187255859372,53614100,2025-02-13,AAPL,,0,2.8576205770219283,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,1.0,0.0,15.100000381469728,0,,,,,,,,,0,0,0,0,0.0,0.0
2025-02-14,240.2030902821229,244.484433375407,239.94422402720735,243.5385589599609,40896200,2025-02-14,AAPL,1.2710672820557045,1,1.8901544284326628,-0.11592652431750144,-23.72118528521415,,0.2438382314481089,0.04876764628962178,0.19507058515848713,,,,,,,,,,,0.1369215206639263,,,,,,,1.0,0.0,14.770000457763672,1,0.124619,-0.145353,0.124619,0.124619,0.0,0.0,0.0,0.0,1,0,0,0,0.0623095,0.0623095
2025-02-18,243.0905000064508,244.11602908498716,240.7905267294893,243.40911865234372,48822500,2025-02-18,AAPL,-0.053149820779907486,0,1.3680100026161504,-0.18397865020781465,19.381507328309233,,0.42177507506391976,0.12336913204448138,0.29840594301943835,,,,,,,,,,,0.2283345233486446,,,,,,,1.0,0.0,15.350000381469728,0,,,,,,,,,0,0,0,0,0.04153966666666666,0.04153966666666666
2025-02-19,243.59830810290345,244.9424406983724,242.10481731288857,243.8073883056641,32204200,2025-02-19,AAPL,0.1636215009221509,1,1.1648781174149714,0.07772488212733683,-34.03819960059399,,0.5881485280185075,0.2163250112392866,0.3718235167792209,,,,,,,,,,,0.3079579488374012,,,,,,,0.0,0.0,15.270000457763672,2,0.100867,0.1835425,-0.06036,0.262094,0.228009410020727,0.322454,0.5,0.0,2,0,0,0,0.07516199999999999,0.0563715
2025-02-20,243.87709210808563,245.7091038330044,243.2299036494767,244.7632293701172,32316900,2025-02-20,AAPL,0.3920476204990031,1,1.0165777203989788,0.028589700626362728,0.34995435377993545,,0.7880449817368458,0.33066900533879845,0.45737597639804733,,,,,,-0.9602912941868892,,,,0.23230572050849177,0.4017317790792026,,,,,1.0884611777927902,,0.0,0.0,15.65999984741211,0,,,,,,,,,0,0,0,0,0.03362233333333333,0.0450972
2025-02-21,244.88269415360097,247.61080936192477,244.15586625078132,244.48443603515625,53197400,2025-02-21,AAPL,-0.11390327529113842,0,1.410856378840867,0.04880830498568482,64.6117047117762,,0.9134385186789586,0.4472229080068305,0.46621561067212813,,,,,,0.9846679559891803,,,,-0.024079175242567342,0.45158991581067887,,,,,0.6945609093650071,,0.0,0.0,18.209999084472656,0,,,,,,,,,0,0,0,0,0.03362233333333333,0.0450972
2025-02-24,243.86711335623195,247.7800669312537,243.3593319822528,246.0277099609375,51326400,2025-02-24,AAPL,0.6312360618159429,1,1.812763881181171,-0.252499786463105,-3.5170891810502036,,1.1243819332266298,0.5826547130507904,0.5417272201758394,,,,,,0.708657611529272,,,,0.23399170299288327,0.5447300672990311,,,,,1.1300477909964988,,0.0,0.0,18.979999542236328,0,,,,,,,,,0,0,0,0,0.0,0.0201734
2025-02-25,246.92381259977984,248.91513366913293,243.84722519384715,245.9679718017578,48013300,2025-02-25,AAPL,-0.0242810694735085,0,2.052417878181707,0.3642283379317773,-6.454962748215342,,1.2720720836843782,0.7205381871775081,0.5515338965068701,,,,,,0.33549209231716676,,,,-0.08214589154557145,0.6021216919050145,,,,,0.9415981062668848,,0.0,0.0,19.43000030517578,3,0.12407900000000001,-0.031682666666666665,0.0081,0.273328,0.1357079314962836,0.265228,0.3333333333333333,0.0,1,0,1,1,0.04135966666666667,0.0449892
2025-02-26,243.26972892021308,243.91690216055417,238.0922974197643,239.31695556640625,44433600,2025-02-26,AAPL,-2.70401718834844,0,2.3942990221772384,-1.0969895233837295,-7.455642499057557,,0.8427217943718688,0.7449749086163803,0.09774688575548851,,,,,,-0.06614863456261974,,,,-0.41200665671009146,0.34722243207488407,,,,,-1.6447148922686783,,0.0,0.0,19.100000381469727,0,,,,,,,,,0,0,0,0,0.04135966666666667,0.024815800000000002
2025-02-27,238.3710773588995,241.4078448384303,236.0312691715791,236.27023315429688,41153600,2025-02-27,AAPL,-1.2730909119658906,0,2.2555486707626144,-0.395240782362488,-7.381801159482915,,0.25368918959267717,0.6467177648116397,-0.3930285752189625,,,,,,-0.43661597639492433,,,,-0.5762503638070203,0.0045329252695552845,,,,,-2.6970178501580397,,0.0,0.0,21.1299991607666,0,,,,,,,,,0,0,0,0,0.04135966666666667,0.024815800000000002
