date,ticker,actual,predicted,prob_up
2023-06-20,AAPL,0.0,1,0.7681727
2023-06-20,AMZN,1.0,1,0.9383565
2023-06-20,BA,0.0,1,0.77758384
2023-06-20,BAC,1.0,0,0.42981905
2023-06-20,CAT,1.0,1,0.8973207
2023-06-20,CVX,1.0,1,0.83100396
2023-06-20,GOOGL,1.0,1,0.9469991
2023-06-20,GS,1.0,0,0.43029422
2023-06-20,JNJ,1.0,0,0.43150264
2023-06-20,JPM,1.0,1,0.6293451
2023-06-20,KO,0.0,0,0.28742158
2023-06-20,META,1.0,1,0.8955566
2023-06-20,MSFT,1.0,1,0.86247313
2023-06-20,NVDA,1.0,1,0.9367143
2023-06-20,PFE,0.0,0,0.26739773
2023-06-20,TSLA,1.0,1,0.6918994
2023-06-20,UNH,1.0,1,0.93227243
2023-06-20,WMT,1.0,1,0.7465293
2023-06-20,XOM,1.0,1,0.6719847
2023-06-21,AAPL,0.0,1,0.73890305
2023-06-21,AMZN,1.0,1,0.93645054
2023-06-21,BA,0.0,1,0.89227515
2023-06-21,BAC,1.0,1,0.62889886
2023-06-21,CAT,1.0,1,0.84896606
2023-06-21,CVX,1.0,1,0.87677693
2023-06-21,GOOGL,1.0,1,0.9509924
2023-06-21,GS,1.0,1,0.71207136
2023-06-21,JNJ,0.0,0,0.48631787
2023-06-21,JPM,1.0,1,0.7244164
2023-06-21,KO,0.0,0,0.2931868
2023-06-21,META,1.0,1,0.8726796
2023-06-21,MSFT,0.0,1,0.92378235
2023-06-21,NVDA,1.0,1,0.9237615
2023-06-21,PFE,0.0,0,0.38009045
2023-06-21,TSLA,1.0,1,0.6820977
2023-06-21,UNH,1.0,1,0.90895045
2023-06-21,WMT,1.0,1,0.82045764
2023-06-21,XOM,1.0,1,0.8059246
2023-06-22,AAPL,0.0,1,0.77971417
2023-06-22,AMZN,1.0,1,0.9382815
2023-06-22,BA,0.0,1,0.8767664
2023-06-22,BAC,1.0,1,0.59745795
2023-06-22,CAT,1.0,1,0.87084466
2023-06-22,CVX,1.0,1,0.8901007
2023-06-22,GOOGL,1.0,1,0.9447175
2023-06-22,GS,1.0,1,0.8042664
2023-06-22,JNJ,0.0,0,0.4856496
2023-06-22,JPM,1.0,1,0.716767
2023-06-22,KO,0.0,0,0.30840975
2023-06-22,META,1.0,1,0.87755996
2023-06-22,MSFT,0.0,1,0.9131679
2023-06-22,NVDA,1.0,1,0.9390018
2023-06-22,PFE,0.0,0,0.27487084
2023-06-22,TSLA,1.0,1,0.80253583
2023-06-22,UNH,1.0,1,0.9108791
2023-06-22,WMT,1.0,1,0.7328961
2023-06-22,XOM,1.0,1,0.77205575
2023-06-23,AAPL,0.0,1,0.6946333
2023-06-23,AMZN,1.0,1,0.8858328
2023-06-23,BA,0.0,1,0.90931964
2023-06-23,BAC,1.0,1,0.6744127
2023-06-23,CAT,1.0,1,0.8889269
2023-06-23,CVX,1.0,1,0.8879431
2023-06-23,GOOGL,1.0,1,0.92468905
2023-06-23,GS,1.0,1,0.8843418
2023-06-23,JNJ,0.0,0,0.4541382
2023-06-23,JPM,1.0,1,0.87515616
2023-06-23,KO,0.0,0,0.2808167
2023-06-23,META,1.0,1,0.89458954
2023-06-23,MSFT,0.0,1,0.87290496
2023-06-23,NVDA,1.0,1,0.9308784
2023-06-23,PFE,0.0,0,0.33668905
2023-06-23,TSLA,1.0,1,0.8154323
2023-06-23,UNH,1.0,1,0.8872436
2023-06-23,WMT,1.0,1,0.73347884
2023-06-23,XOM,1.0,1,0.75145566
2023-06-26,AAPL,0.0,1,0.5900623
2023-06-26,AMZN,1.0,1,0.8583414
2023-06-26,BA,0.0,1,0.8568661
2023-06-26,BAC,1.0,0,0.4428514
2023-06-26,CAT,1.0,1,0.8459357
2023-06-26,CVX,1.0,1,0.93549716
2023-06-26,GOOGL,1.0,1,0.9105721
2023-06-26,GS,1.0,1,0.86203045
2023-06-26,JNJ,1.0,0,0.45496795
2023-06-26,JPM,1.0,1,0.9047504
2023-06-26,KO,0.0,0,0.39529502
2023-06-26,META,1.0,1,0.8645823
2023-06-26,MSFT,0.0,1,0.85067296
2023-06-26,NVDA,1.0,1,0.93792194
2023-06-26,PFE,0.0,0,0.2976329
2023-06-26,TSLA,1.0,1,0.8420606
2023-06-26,UNH,1.0,1,0.89108527
2023-06-26,WMT,1.0,1,0.7700424
2023-06-26,XOM,1.0,1,0.8246999
2023-06-27,AAPL,0.0,1,0.7015389
2023-06-27,AMZN,1.0,1,0.9055644
2023-06-27,BA,0.0,1,0.8319008
2023-06-27,BAC,1.0,1,0.54028064
2023-06-27,CAT,1.0,1,0.85462075
2023-06-27,CVX,1.0,1,0.9198253
2023-06-27,GOOGL,1.0,1,0.92295575
2023-06-27,GS,1.0,1,0.8699394
2023-06-27,JNJ,0.0,1,0.62204236
2023-06-27,JPM,1.0,1,0.92437613
2023-06-27,KO,0.0,0,0.35547137
2023-06-27,META,1.0,1,0.90788406
2023-06-27,MSFT,0.0,1,0.89105064
2023-06-27,NVDA,0.0,1,0.94543785
2023-06-27,PFE,0.0,1,0.54342616
2023-06-27,TSLA,1.0,1,0.91729474
2023-06-27,UNH,1.0,1,0.86611885
2023-06-27,WMT,1.0,1,0.79616463
2023-06-27,XOM,1.0,1,0.776504
2023-06-28,AAPL,0.0,1,0.5973086
2023-06-28,AMZN,1.0,1,0.8662133
2023-06-28,BA,0.0,1,0.81975996
2023-06-28,BAC,0.0,1,0.62174064
2023-06-28,CAT,1.0,1,0.8046142
2023-06-28,CVX,1.0,1,0.92895126
2023-06-28,GOOGL,1.0,1,0.90499485
2023-06-28,GS,1.0,1,0.88805413
2023-06-28,JNJ,0.0,1,0.6172802
2023-06-28,JPM,1.0,1,0.92356783
2023-06-28,KO,0.0,0,0.42155403
2023-06-28,META,1.0,1,0.88252103
2023-06-28,MSFT,0.0,1,0.8391745
2023-06-28,NVDA,1.0,1,0.9205851
2023-06-28,PFE,0.0,1,0.6524064
2023-06-28,TSLA,0.0,1,0.8686956
2023-06-28,UNH,1.0,1,0.7310822
2023-06-28,WMT,1.0,1,0.8250523
2023-06-28,XOM,1.0,1,0.74889606
2023-06-29,AAPL,0.0,1,0.5077601
2023-06-29,AMZN,1.0,1,0.8764845
2023-06-29,BA,0.0,1,0.7472309
2023-06-29,BAC,0.0,1,0.5215883
2023-06-29,CAT,1.0,1,0.748276
2023-06-29,CVX,1.0,1,0.8830613
2023-06-29,GOOGL,1.0,1,0.8858225
2023-06-29,GS,1.0,1,0.8344496
2023-06-29,JNJ,0.0,1,0.6542006
2023-06-29,JPM,1.0,1,0.91652185
2023-06-29,KO,0.0,0,0.4395677
2023-06-29,META,1.0,1,0.8843887
2023-06-29,MSFT,0.0,1,0.74537987
2023-06-29,NVDA,1.0,1,0.9175752
2023-06-29,PFE,0.0,1,0.5492162
2023-06-29,TSLA,0.0,1,0.84849864
2023-06-29,UNH,1.0,1,0.86719143
2023-06-29,WMT,1.0,1,0.76798576
2023-06-29,XOM,1.0,1,0.76098245
2023-06-30,AAPL,0.0,0,0.46069407
2023-06-30,AMZN,0.0,1,0.8022246
2023-06-30,BA,0.0,1,0.7036961
2023-06-30,BAC,0.0,1,0.582588
2023-06-30,CAT,1.0,1,0.7651865
2023-06-30,CVX,1.0,1,0.88331646
2023-06-30,GOOGL,1.0,1,0.8520599
2023-06-30,GS,1.0,1,0.87109065
2023-06-30,JNJ,0.0,1,0.5697762
2023-06-30,JPM,1.0,1,0.78194153
2023-06-30,KO,0.0,0,0.48897076
2023-06-30,META,1.0,1,0.83978176
2023-06-30,MSFT,0.0,1,0.70925397
2023-06-30,NVDA,0.0,1,0.92544454
2023-06-30,PFE,0.0,0,0.47900054
2023-06-30,TSLA,0.0,1,0.83241075
2023-06-30,UNH,1.0,1,0.82789826
2023-06-30,WMT,1.0,1,0.8529402
2023-06-30,XOM,1.0,1,0.5059379
2023-07-03,AAPL,0.0,1,0.5080101
2023-07-03,AMZN,0.0,1,0.6994538
2023-07-03,BA,0.0,1,0.74140203
2023-07-03,BAC,0.0,1,0.5222532
2023-07-03,CAT,1.0,1,0.5830555
2023-07-03,CVX,1.0,1,0.8621839
2023-07-03,GOOGL,1.0,1,0.78755075
2023-07-03,GS,0.0,1,0.81418353
2023-07-03,JNJ,0.0,1,0.5781581
2023-07-03,JPM,1.0,1,0.7456548
2023-07-03,KO,0.0,0,0.44904006
2023-07-03,META,1.0,1,0.75892335
2023-07-03,MSFT,0.0,1,0.647573
2023-07-03,NVDA,1.0,1,0.89317703
2023-07-03,PFE,0.0,0,0.46899492
2023-07-03,TSLA,0.0,1,0.76151556
2023-07-03,UNH,1.0,1,0.72482896
2023-07-03,WMT,1.0,1,0.79649204
2023-07-03,XOM,1.0,1,0.5453739
2023-07-05,AAPL,0.0,0,0.46824586
2023-07-05,AMZN,0.0,1,0.5865163
2023-07-05,BA,0.0,1,0.70444554
2023-07-05,BAC,0.0,0,0.41701323
2023-07-05,CAT,1.0,1,0.7052617
2023-07-05,CVX,1.0,1,0.8462075
2023-07-05,GOOGL,1.0,1,0.78910774
2023-07-05,GS,1.0,1,0.8074556
2023-07-05,JNJ,0.0,1,0.67497194
2023-07-05,JPM,1.0,1,0.67083186
2023-07-05,KO,0.0,0,0.33868298
2023-07-05,META,1.0,1,0.7612147
2023-07-05,MSFT,0.0,1,0.58912385
2023-07-05,NVDA,1.0,1,0.8211162
2023-07-05,PFE,0.0,0,0.43646324
2023-07-05,TSLA,0.0,1,0.78267545
2023-07-05,UNH,1.0,1,0.8502763
2023-07-05,WMT,1.0,1,0.80719185
2023-07-05,XOM,1.0,1,0.5608234
2023-07-06,AAPL,0.0,0,0.48018175
2023-07-06,AMZN,0.0,1,0.6348718
2023-07-06,BA,0.0,1,0.8019028
2023-07-06,BAC,0.0,0,0.47516948
2023-07-06,CAT,1.0,1,0.6988559
2023-07-06,CVX,1.0,1,0.9054983
2023-07-06,GOOGL,1.0,1,0.8403781
2023-07-06,GS,1.0,1,0.84495
2023-07-06,JNJ,0.0,1,0.69431984
2023-07-06,JPM,1.0,1,0.67814237
2023-07-06,KO,0.0,0,0.37208363
2023-07-06,META,1.0,1,0.87111205
2023-07-06,MSFT,0.0,1,0.7651886
2023-07-06,NVDA,1.0,1,0.9199735
2023-07-06,PFE,0.0,0,0.30126446
2023-07-06,TSLA,0.0,1,0.72599244
2023-07-06,UNH,1.0,1,0.8858903
2023-07-06,WMT,1.0,1,0.8447625
2023-07-06,XOM,1.0,1,0.6428005
2023-07-07,AAPL,0.0,1,0.70141405
2023-07-07,AMZN,0.0,1,0.8357328
2023-07-07,BA,0.0,1,0.85752046
2023-07-07,BAC,0.0,1,0.6122886
2023-07-07,CAT,1.0,1,0.82112145
2023-07-07,CVX,1.0,1,0.91513205
2023-07-07,GOOGL,1.0,1,0.9163227
2023-07-07,GS,1.0,1,0.8980423
2023-07-07,JNJ,0.0,1,0.8177158
2023-07-07,JPM,0.0,1,0.74279696
2023-07-07,KO,0.0,0,0.43997577
2023-07-07,META,1.0,1,0.9064404
2023-07-07,MSFT,0.0,1,0.7835626
2023-07-07,NVDA,1.0,1,0.9359004
2023-07-07,PFE,0.0,0,0.37317646
2023-07-07,TSLA,0.0,1,0.76141644
2023-07-07,UNH,1.0,1,0.90481853
2023-07-07,WMT,1.0,1,0.8656072
2023-07-07,XOM,1.0,1,0.80720395
2023-07-10,AAPL,0.0,1,0.553646
2023-07-10,AMZN,0.0,1,0.821909
2023-07-10,BA,0.0,1,0.66443986
2023-07-10,BAC,0.0,0,0.4603167
2023-07-10,CAT,1.0,1,0.70606005
2023-07-10,CVX,1.0,1,0.9050775
2023-07-10,GOOGL,1.0,1,0.8306819
2023-07-10,GS,0.0,1,0.8370777
2023-07-10,JNJ,0.0,1,0.88717633
2023-07-10,JPM,0.0,1,0.73358184
2023-07-10,KO,0.0,0,0.42213863
2023-07-10,META,1.0,1,0.8946981
2023-07-10,MSFT,0.0,1,0.7113853
2023-07-10,NVDA,1.0,1,0.9157148
2023-07-10,PFE,0.0,0,0.3166011
2023-07-10,TSLA,0.0,1,0.762938
2023-07-10,UNH,1.0,1,0.9306348
2023-07-10,WMT,1.0,1,0.92463005
2023-07-10,XOM,1.0,1,0.82489675
2023-07-11,AAPL,0.0,1,0.5347956
2023-07-11,AMZN,0.0,1,0.76140755
2023-07-11,BA,0.0,1,0.57527614
2023-07-11,BAC,0.0,0,0.35973352
2023-07-11,CAT,1.0,1,0.6791243
2023-07-11,CVX,1.0,1,0.8109467
2023-07-11,GOOGL,1.0,1,0.8335474
2023-07-11,GS,0.0,1,0.7970118
2023-07-11,JNJ,0.0,1,0.8584497
2023-07-11,JPM,0.0,1,0.6193481
2023-07-11,KO,0.0,0,0.44796792
